variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	notes
EW033_RS02405	1.07E-01	9.99E-01	9.99E-01	8.00E-04	5.04E-01	-3.32E-01		
EW033_RS02410	4.29E-01	4.83E-02	4.91E-02	6.11E-01	3.04E-01	-5.94E-01		
EW033_RS02415	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS02420	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02425	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02430	3.57E-01	8.18E-02	7.58E-02	5.71E-01	3.16E-01	-5.36E-01		
EW033_RS02435	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02440	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02450	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS02455	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS02460	3.93E-01	1.03E-01	9.36E-02	5.30E-01	3.11E-01	-5.40E-01		
EW033_RS02465	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS02470	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS02475	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS02480	3.93E-01	8.41E-02	8.17E-02	5.50E-01	3.10E-01	-5.48E-01		
EW033_RS02485	1.07E-01	8.76E-01	8.82E-01	7.50E-02	5.03E-01	-3.40E-01		
EW033_RS02490	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS02495	3.57E-02	3.34E-01	3.97E-01	-7.12E-01	8.34E-01	-3.06E-01		
EW033_RS02500	5.71E-01	3.47E-02	3.57E-02	6.51E-01	3.02E-01	-7.04E-01		
EW033_RS02700	5.71E-01	2.40E-02	2.28E-02	7.03E-01	3.00E-01	-7.33E-01		
EW033_RS02705	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02710	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS02715	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02720	4.29E-01	4.67E-02	5.09E-02	6.06E-01	3.04E-01	-5.92E-01		
EW033_RS02725	4.11E-01	2.58E-02	2.93E-02	6.78E-01	3.03E-01	-6.10E-01		
EW033_RS02735	1.43E-01	7.65E-01	7.72E-01	1.29E-01	4.45E-01	-3.50E-01		
EW033_RS02740	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS02750	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02760	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02765	4.82E-01	8.35E-02	8.45E-02	5.33E-01	3.03E-01	-5.89E-01		
EW033_RS02770	3.39E-01	1.99E-01	1.86E-01	4.34E-01	3.24E-01	-4.79E-01		
EW033_RS02775	4.11E-01	8.59E-02	8.69E-02	5.37E-01	3.08E-01	-5.52E-01		
EW033_RS02795	1.79E-01	8.98E-01	9.03E-01	4.96E-02	4.07E-01	-3.41E-01		
EW033_RS02800	3.39E-01	5.86E-02	5.33E-02	6.28E-01	3.18E-01	-5.45E-01		
EW033_RS02810	4.82E-01	1.25E-02	1.23E-02	7.61E-01	2.94E-01	-6.99E-01		
EW033_RS02815	3.57E-01	2.07E-01	1.99E-01	4.16E-01	3.20E-01	-4.81E-01		
EW033_RS02820	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02825	2.50E-01	4.88E-03	3.73E-03	1.01E+00	3.32E-01	-5.84E-01		
EW033_RS02830	2.50E-01	1.93E-01	1.39E-01	5.30E-01	3.52E-01	-4.64E-01		
EW033_RS02835	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02840	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02845	7.14E-02	4.38E-01	2.21E-01	7.38E-01	5.96E-01	-3.85E-01		
EW033_RS02850	3.57E-02	7.72E-01	8.38E-01	1.73E-01	8.39E-01	-3.38E-01		
EW033_RS02855	3.57E-02	2.16E-01	3.49E-01	7.86E-01	8.32E-01	-3.60E-01		
EW033_RS02865	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS02870	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02875	3.21E-01	2.85E-02	2.32E-02	7.43E-01	3.18E-01	-5.71E-01		
EW033_RS02880	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS02885	3.93E-01	4.19E-02	4.98E-02	6.17E-01	3.08E-01	-5.74E-01		
EW033_RS02890	4.29E-01	9.04E-03	8.89E-03	8.01E-01	2.95E-01	-6.75E-01		
EW033_RS02895	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS02900	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02905	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02910	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02915	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02920	2.14E-01	6.62E-02	5.47E-02	7.20E-01	3.67E-01	-4.86E-01		
EW033_RS02925	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02930	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS02935	3.57E-02	6.82E-02	1.60E-01	1.17E+00	8.24E-01	-3.74E-01		
EW033_RS02940	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02945	4.64E-01	2.61E-02	2.54E-02	6.85E-01	2.98E-01	-6.50E-01		
EW033_RS02950	7.14E-02	8.65E-01	8.58E-01	1.09E-01	6.05E-01	-3.40E-01		
EW033_RS02955	3.21E-01	1.19E-01	1.10E-01	5.29E-01	3.26E-01	-5.02E-01		
EW033_RS02960	3.93E-01	4.28E-01	4.39E-01	2.47E-01	3.17E-01	-4.29E-01		
EW033_RS02965	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02970	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS02980	3.57E-01	2.53E-01	2.63E-01	3.63E-01	3.21E-01	-4.62E-01		
EW033_RS02985	7.32E-01	5.70E-02	9.16E-02	5.88E-01	3.42E-01	-7.63E-01		
EW033_RS02990	3.75E-01	4.69E-02	4.78E-02	6.28E-01	3.10E-01	-5.67E-01		
EW033_RS03000	2.50E-01	1.02E-01	1.34E-01	5.36E-01	3.52E-01	-4.66E-01		
EW033_RS03005	1.43E-01	8.78E-01	8.78E-01	6.88E-02	4.45E-01	-3.42E-01		
EW033_RS03010	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03020	3.21E-01	1.94E-01	1.95E-01	4.31E-01	3.28E-01	-4.70E-01		
EW033_RS03025	3.93E-01	4.19E-02	4.98E-02	6.17E-01	3.08E-01	-5.74E-01		
EW033_RS03030	4.11E-01	4.07E-02	4.03E-02	6.40E-01	3.04E-01	-5.95E-01		
EW033_RS03050	2.50E-01	2.08E-01	2.15E-01	4.45E-01	3.55E-01	-4.43E-01		
EW033_RS03055	1.43E-01	6.02E-01	5.89E-01	2.41E-01	4.44E-01	-3.66E-01		
EW033_RS03060	5.36E-02	6.12E-01	6.33E-01	-3.32E-01	6.90E-01	-3.14E-01		
EW033_RS03065	3.21E-01	7.75E-02	6.58E-02	6.07E-01	3.23E-01	-5.27E-01		
EW033_RS03070	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03075	1.07E-01	1.36E-01	1.30E-01	7.58E-01	4.93E-01	-4.13E-01		
EW033_RS03080	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03085	1.43E-01	4.57E-01	3.57E-01	4.10E-01	4.42E-01	-3.90E-01		
EW033_RS03090	7.14E-02	8.65E-01	8.58E-01	1.09E-01	6.05E-01	-3.40E-01		
EW033_RS03095	4.29E-01	4.67E-02	5.09E-02	6.06E-01	3.04E-01	-5.92E-01		
EW033_RS03105	2.14E-01	1.05E-01	1.03E-01	6.14E-01	3.70E-01	-4.63E-01		
EW033_RS03110	3.21E-01	2.86E-02	4.16E-02	6.69E-01	3.21E-01	-5.47E-01		
EW033_RS03120	1.61E-01	8.72E-01	8.79E-01	6.46E-02	4.24E-01	-3.42E-01		
EW033_RS03130	4.46E-01	4.61E-02	5.01E-02	6.06E-01	3.02E-01	-6.02E-01		
EW033_RS03135	5.36E-02	3.55E-01	5.34E-01	4.32E-01	6.89E-01	-3.55E-01		
EW033_RS03140	7.14E-02	5.32E-01	4.81E-01	4.27E-01	6.02E-01	-3.62E-01		
EW033_RS03145	3.57E-01	2.14E-01	2.15E-01	4.02E-01	3.20E-01	-4.75E-01		
EW033_RS03165	1.79E-01	9.83E-01	9.83E-01	8.84E-03	4.07E-01	-3.33E-01		
EW033_RS03170	5.54E-01	3.23E-02	3.25E-02	6.59E-01	3.00E-01	-6.97E-01		
EW033_RS03175	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03180	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03185	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS03195	3.57E-02	7.72E-01	8.38E-01	1.73E-01	8.39E-01	-3.38E-01		
EW033_RS03200	5.36E-01	2.33E-02	2.32E-02	6.95E-01	2.98E-01	-7.04E-01		
EW033_RS03210	5.36E-01	2.33E-02	2.32E-02	6.95E-01	2.98E-01	-7.04E-01		
EW033_RS03215	1.79E-01	1.77E-01	9.74E-02	6.69E-01	3.96E-01	-4.51E-01		
EW033_RS03220	1.07E-01	9.99E-01	9.99E-01	8.00E-04	5.04E-01	-3.32E-01		
EW033_RS03225	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03230	1.43E-01	4.78E-01	5.31E-01	2.80E-01	4.43E-01	-3.72E-01		
EW033_RS03235	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS03240	1.07E-01	8.76E-01	8.82E-01	7.50E-02	5.03E-01	-3.40E-01		
EW033_RS03245	2.86E-01	4.22E-01	4.41E-01	2.66E-01	3.43E-01	-4.08E-01		
EW033_RS03315	2.14E-01	6.43E-01	6.58E-01	1.69E-01	3.79E-01	-3.68E-01		
EW033_RS03320	1.07E-01	5.58E-01	5.58E-01	2.96E-01	5.02E-01	-3.64E-01		
EW033_RS03325	1.43E-01	5.95E-01	6.19E-01	2.22E-01	4.44E-01	-3.64E-01		
EW033_RS03330	7.14E-02	2.08E-02	1.96E-01	7.80E-01	5.95E-01	-3.88E-01		
EW033_RS03340	1.43E-01	8.78E-01	8.78E-01	6.88E-02	4.45E-01	-3.42E-01		
EW033_RS03345	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS03350	1.96E-01	4.88E-01	4.44E-01	3.01E-01	3.90E-01	-3.91E-01		
EW033_RS03355	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03360	1.61E-01	6.83E-01	7.21E-01	1.52E-01	4.24E-01	-3.56E-01		
EW033_RS03365	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS03375	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03380	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03385	2.14E-01	2.10E-01	1.91E-01	4.94E-01	3.74E-01	-4.38E-01		
EW033_RS03390	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03395	3.93E-01	8.41E-02	8.17E-02	5.50E-01	3.10E-01	-5.48E-01		
EW033_RS03400	3.93E-01	8.28E-03	7.59E-03	8.28E-01	2.98E-01	-6.57E-01		
EW033_RS03405	3.57E-02	7.72E-01	8.38E-01	1.73E-01	8.39E-01	-3.38E-01		
EW033_RS03410	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03415	1.07E-01	9.99E-01	9.99E-01	8.00E-04	5.04E-01	-3.32E-01		
EW033_RS03420	1.07E-01	9.99E-01	9.99E-01	8.00E-04	5.04E-01	-3.32E-01		
EW033_RS03430	1.43E-01	2.03E-01	2.23E-01	5.41E-01	4.39E-01	-4.09E-01		
EW033_RS03435	2.14E-01	2.83E-01	2.99E-01	3.94E-01	3.76E-01	-4.16E-01		
EW033_RS03440	3.57E-02	7.72E-01	8.38E-01	1.73E-01	8.39E-01	-3.38E-01		
EW033_RS03455	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS03465	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03480	7.14E-02	9.80E-01	9.76E-01	1.84E-02	6.05E-01	-3.33E-01		
EW033_RS03485	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS03490	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03495	4.29E-01	4.83E-02	4.91E-02	6.11E-01	3.04E-01	-5.94E-01		
EW033_RS03500	7.86E-01	1.55E-01	1.95E-01	4.91E-01	3.74E-01	-7.17E-01		
EW033_RS03505	1.07E-01	8.76E-01	8.82E-01	7.50E-02	5.03E-01	-3.40E-01		
EW033_RS03510	2.68E-01	5.69E-01	6.08E-01	1.81E-01	3.51E-01	-3.80E-01		
EW033_RS03520	5.71E-01	9.87E-01	9.87E-01	5.08E-03	3.15E-01	-3.35E-01		
EW033_RS03525	4.29E-01	9.04E-03	8.89E-03	8.01E-01	2.95E-01	-6.75E-01		
EW033_RS03530	3.57E-02	2.16E-01	3.49E-01	7.86E-01	8.32E-01	-3.60E-01		
EW033_RS03535	1.07E-01	8.76E-01	8.82E-01	7.50E-02	5.03E-01	-3.40E-01		
EW033_RS03540	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03545	1.25E-01	6.30E-01	6.55E-01	2.11E-01	4.70E-01	-3.58E-01		
EW033_RS03555	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03560	6.79E-01	6.02E-01	6.13E-01	1.69E-01	3.33E-01	-4.47E-01		
EW033_RS03565	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03570	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03575	4.64E-01	3.77E-02	3.82E-02	6.37E-01	3.00E-01	-6.28E-01		
EW033_RS03585	3.57E-01	2.53E-01	2.63E-01	3.63E-01	3.21E-01	-4.62E-01		
EW033_RS03590	2.86E-01	1.07E-01	1.22E-01	5.29E-01	3.37E-01	-4.83E-01		
EW033_RS03595	2.14E-01	6.86E-02	1.18E-01	5.90E-01	3.71E-01	-4.58E-01		
EW033_RS03600	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS03605	3.57E-01	1.54E-01	1.76E-01	4.38E-01	3.19E-01	-4.88E-01		
EW033_RS03610	3.57E-01	2.53E-01	2.63E-01	3.63E-01	3.21E-01	-4.62E-01		
EW033_RS03615	2.86E-01	5.95E-01	6.14E-01	1.74E-01	3.44E-01	-3.82E-01		
EW033_RS03620	3.21E-01	2.39E-01	2.58E-01	3.77E-01	3.29E-01	-4.53E-01		
EW033_RS03625	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03630	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03635	3.57E-01	1.24E-01	1.46E-01	4.71E-01	3.19E-01	-5.00E-01		
EW033_RS03640	3.21E-01	1.37E-01	1.70E-01	4.56E-01	3.28E-01	-4.78E-01		
EW033_RS03645	5.36E-02	7.13E-01	7.83E-01	-1.91E-01	6.91E-01	-3.22E-01		
EW033_RS03650	7.14E-02	1.09E-02	1.02E-01	9.81E-01	5.90E-01	-4.02E-01		
EW033_RS03655	3.21E-01	2.39E-01	2.58E-01	3.77E-01	3.29E-01	-4.53E-01		
EW033_RS03660	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03670	2.14E-01	2.27E-01	2.41E-01	4.44E-01	3.75E-01	-4.27E-01		
EW033_RS03675	3.21E-01	2.94E-01	2.73E-01	-3.65E-01	3.30E-01	-2.14E-01		
EW033_RS03680	7.14E-02	1.92E-01	4.11E-01	4.98E-01	6.01E-01	-3.67E-01		
EW033_RS03685	5.36E-02	4.62E-01	7.04E-01	2.64E-01	6.91E-01	-3.46E-01		
EW033_RS03690	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03695	3.93E-01	2.96E-01	3.17E-01	3.19E-01	3.16E-01	-4.57E-01		
EW033_RS03700	3.93E-01	8.41E-02	8.17E-02	5.50E-01	3.10E-01	-5.48E-01		
EW033_RS03705	7.14E-02	1.92E-01	4.11E-01	4.98E-01	6.01E-01	-3.67E-01		
EW033_RS03710	3.57E-01	6.96E-03	6.80E-03	8.54E-01	3.04E-01	-6.37E-01		
EW033_RS03715	7.14E-02	8.65E-01	8.58E-01	1.09E-01	6.05E-01	-3.40E-01		
EW033_RS03720	1.43E-01	9.02E-01	9.12E-01	4.92E-02	4.45E-01	-3.39E-01		
EW033_RS03725	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS03730	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03735	4.29E-01	4.83E-02	4.91E-02	6.11E-01	3.04E-01	-5.94E-01		
EW033_RS03740	7.32E-01	8.91E-02	1.26E-01	5.35E-01	3.44E-01	-7.24E-01		
EW033_RS03825	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS03830	1.96E-01	4.21E-01	3.67E-01	3.54E-01	3.89E-01	-4.01E-01		
EW033_RS03835	3.21E-01	9.00E-03	7.11E-03	8.72E-01	3.12E-01	-6.12E-01		
EW033_RS03840	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS03845	3.93E-01	6.86E-01	6.76E-01	-1.34E-01	3.18E-01	-2.79E-01		
EW033_RS03850	1.79E-01	9.83E-01	9.83E-01	8.84E-03	4.07E-01	-3.33E-01		
EW033_RS03855	2.86E-01	2.19E-02	3.35E-02	7.21E-01	3.30E-01	-5.38E-01		
EW033_RS03860	3.57E-02	9.83E-01	9.66E-01	3.63E-02	8.39E-01	-3.33E-01		
EW033_RS03865	3.93E-01	8.28E-03	7.59E-03	8.28E-01	2.98E-01	-6.57E-01		
EW033_RS03875	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03880	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS03885	5.18E-01	2.70E-02	2.74E-02	6.75E-01	2.98E-01	-6.82E-01		
EW033_RS03890	1.79E-01	3.96E-01	3.47E-01	3.83E-01	4.03E-01	-4.00E-01		
EW033_RS03895	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03900	2.86E-01	2.98E-02	3.21E-02	7.27E-01	3.30E-01	-5.40E-01		
EW033_RS03905	1.25E-01	7.41E-01	7.71E-01	1.38E-01	4.71E-01	-3.49E-01		
EW033_RS03910	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03920	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03925	2.86E-01	4.36E-01	4.25E-01	2.75E-01	3.43E-01	-4.11E-01		
EW033_RS03930	3.57E-01	2.53E-01	2.63E-01	3.63E-01	3.21E-01	-4.62E-01		
EW033_RS03940	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS03945	2.14E-01	9.04E-01	9.10E-01	4.30E-02	3.79E-01	-3.41E-01		
EW033_RS03950	1.07E-01	8.76E-01	8.82E-01	7.50E-02	5.03E-01	-3.40E-01		
EW033_RS03955	2.32E-01	8.71E-02	1.46E-01	5.33E-01	3.62E-01	-4.56E-01		
EW033_RS03960	4.29E-01	1.06E-02	1.00E-02	7.90E-01	2.96E-01	-6.70E-01		
EW033_RS03965	1.79E-01	3.96E-01	3.47E-01	3.83E-01	4.03E-01	-4.00E-01		
EW033_RS03970	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS03975	1.79E-01	1.52E-01	1.31E-01	6.10E-01	3.98E-01	-4.41E-01		
EW033_RS03980	2.14E-01	5.09E-01	5.15E-01	2.48E-01	3.78E-01	-3.85E-01		
EW033_RS03985	1.07E-01	5.58E-01	5.58E-01	2.96E-01	5.02E-01	-3.64E-01		
EW033_RS03990	1.07E-01	8.89E-02	1.33E-01	7.52E-01	4.93E-01	-4.13E-01		
EW033_RS03995	7.14E-02	9.80E-01	9.76E-01	1.84E-02	6.05E-01	-3.33E-01		
EW033_RS04000	3.21E-01	2.86E-01	2.86E-01	3.55E-01	3.30E-01	-4.46E-01		
EW033_RS04005	3.93E-01	8.41E-02	8.17E-02	5.50E-01	3.10E-01	-5.48E-01		
EW033_RS04010	1.79E-01	2.22E-02	4.32E-02	8.10E-01	3.91E-01	-4.77E-01		
EW033_RS04015	1.43E-01	4.78E-01	5.31E-01	2.80E-01	4.43E-01	-3.72E-01		
EW033_RS04020	6.79E-01	1.46E-01	1.42E-01	4.88E-01	3.27E-01	-6.63E-01		
EW033_RS04025	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS04030	3.57E-02	2.16E-01	3.49E-01	7.86E-01	8.32E-01	-3.60E-01		
EW033_RS04035	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS04040	2.14E-01	5.37E-01	5.15E-01	2.48E-01	3.78E-01	-3.85E-01		
EW033_RS04045	2.14E-01	4.15E-01	3.70E-01	3.41E-01	3.77E-01	-4.05E-01		
EW033_RS04055	1.07E-01	8.76E-01	8.82E-01	7.50E-02	5.03E-01	-3.40E-01		
EW033_RS04060	1.43E-01	5.95E-01	6.19E-01	2.22E-01	4.44E-01	-3.64E-01		
EW033_RS04065	6.07E-01	3.67E-01	3.75E-01	2.83E-01	3.17E-01	-5.04E-01		
EW033_RS04070	4.29E-01	4.83E-02	4.91E-02	6.11E-01	3.04E-01	-5.94E-01		
EW033_RS04075	3.93E-01	4.52E-02	4.80E-02	6.22E-01	3.07E-01	-5.76E-01		
EW033_RS04080	4.29E-01	9.04E-03	8.89E-03	8.01E-01	2.95E-01	-6.75E-01		
EW033_RS04085	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS04095	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04100	3.93E-01	4.19E-02	4.98E-02	6.17E-01	3.08E-01	-5.74E-01		
EW033_RS04110	1.43E-01	4.78E-01	5.31E-01	2.80E-01	4.43E-01	-3.72E-01		
EW033_RS04115	4.64E-01	3.84E-02	3.86E-02	6.36E-01	3.00E-01	-6.27E-01		
EW033_RS04120	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04125	3.93E-01	8.28E-03	7.59E-03	8.28E-01	2.98E-01	-6.57E-01		
EW033_RS04130	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04135	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS04140	3.57E-01	2.53E-01	2.63E-01	3.63E-01	3.21E-01	-4.62E-01		
EW033_RS04150	1.25E-01	6.01E-01	5.77E-01	-2.63E-01	4.70E-01	-2.99E-01		
EW033_RS04155	1.43E-01	1.34E-01	1.83E-01	5.90E-01	4.38E-01	-4.16E-01		
EW033_RS04160	2.86E-01	4.23E-01	4.34E-01	2.70E-01	3.43E-01	-4.09E-01		
EW033_RS04165	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04170	1.79E-01	9.83E-01	9.83E-01	8.84E-03	4.07E-01	-3.33E-01		
EW033_RS04175	1.79E-01	9.83E-01	9.83E-01	8.84E-03	4.07E-01	-3.33E-01		
EW033_RS04180	4.29E-01	4.67E-02	5.09E-02	6.06E-01	3.04E-01	-5.92E-01		
EW033_RS04185	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS04190	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS04195	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04200	3.93E-01	4.58E-01	4.51E-01	2.41E-01	3.17E-01	-4.26E-01		
EW033_RS04205	1.43E-01	1.58E-01	1.30E-01	6.70E-01	4.36E-01	-4.28E-01		
EW033_RS04210	3.21E-01	2.52E-01	2.51E-01	3.82E-01	3.29E-01	-4.55E-01		
EW033_RS04215	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS04220	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS04225	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS04230	3.21E-01	2.89E-01	3.12E-01	3.37E-01	3.30E-01	-4.40E-01		
EW033_RS04235	2.50E-01	9.14E-02	6.59E-02	6.54E-01	3.48E-01	-4.95E-01		
EW033_RS04240	2.14E-01	1.77E-01	1.97E-01	4.88E-01	3.74E-01	-4.36E-01		
EW033_RS04245	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS04250	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04255	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04260	4.64E-01	1.30E-02	1.35E-02	7.54E-01	2.95E-01	-6.82E-01		
EW033_RS04270	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
