well,sample_id,replicate,plate_number
B12,BPH3221,2,12
C01,BPH3215,2,12
C02,BPH3218,1,12
C03,BPH3231,3,12
C04,BPH3233,3,12
C05,BPH3222,1,12
C06,BPH3230,3,12
C07,BPH3217,1,12
C08,BPH3227,1,12
C09,BPH3227,2,12
C10,BPH3210,3,12
C11,BPH3228,1,12
C12,TOX-5,2,12
D01,BPH3236,3,12
D02,BPH3232,2,12
D03,BPH3228,3,12
D04,BPH3216,3,12
D05,BPH3219,2,12
D06,TOX-4,2,12
D07,BPH3209,2,12
D08,BPH3223,3,12
D09,BPH3214,3,12
D10,BPH3216,1,12
D11,BPH3226,1,12
D12,BPH3232,3,12
E01,TOX-5,1,12
E02,BPH3230,2,12
E03,BPH3229,2,12
E04,BPH3216,2,12
E05,TOX-4,1,12
E06,BPH3230,1,12
E07,Non infected,1,12
E08,BPH3212,2,12
E09,BPH3214,2,12
E10,BPH3220,3,12
E11,BPH3213,1,12
E12,BPH3229,3,12
F01,BPH3234,1,12
F02,BPH3229,1,12
F03,BPH3224,2,12
F04,BPH3231,1,12
F05,BPH3235,2,12
F06,BPH3235,1,12
F07,BPH3224,3,12
F08,BPH3212,3,12
F09,BPH3214,1,12
F10,BPH3225,2,12
F11,TOX-5,3,12
F12,BPH3236,2,12
G01,BPH3222,2,12
G02,BPH3234,2,12
G03,BPH3211,3,12
G04,BPH3218,2,12
G05,BPH3235,3,12
G06,BPH3224,1,12
G07,BPH3219,1,12
G08,BPH3212,1,12
G09,BPH3225,1,12
G10,BPH3217,2,12
G11,BPH3209,3,12
G12,BPH3227,3,12
H01,Non infected,2,12
H02,BPH3218,3,12
H03,BPH3211,2,12
H04,BPH3213,3,12
H05,BPH3217,3,12
H06,BPH3215,1,12
H07,BPH3210,2,12
H08,BPH3226,2,12
H09,BPH3210,1,12
H10,Total LDH,1,12
H11,Total LDH,2,12
H12,Total LDH,3,12
A01,BPH3259,2,13
A02,BPH3249,3,13
A03,BPH3237,1,13
A04,BPH3248,1,13
A05,Non infected,3,13
A06,BPH3251,1,13
A07,BPH3241,2,13
A08,BPH3264,1,13
A09,BPH3256,2,13
A10,BPH3253,3,13
A11,BPH3243,3,13
A12,BPH3254,3,13
B01,BPH3261,2,13
B02,BPH3239,1,13
B03,BPH3261,1,13
B04,BPH3249,1,13
B05,BPH3262,3,13
B06,TOX-4,3,13
B07,BPH3251,2,13
B08,BPH3247,3,13
B09,BPH3248,2,13
B10,BPH3260,1,13
B11,BPH3250,3,13
B12,BPH3249,2,13
C01,BPH3243,2,13
C02,BPH3246,1,13
C03,BPH3259,3,13
C04,BPH3261,3,13
C05,BPH3250,1,13
C06,BPH3258,3,13
C07,BPH3245,1,13
C08,BPH3255,1,13
C09,BPH3255,2,13
C10,BPH3238,3,13
C11,BPH3256,1,13
C12,TOX-5,2,13
D01,BPH3264,3,13
D02,BPH3260,2,13
D03,BPH3256,3,13
D04,BPH3244,3,13
D05,BPH3247,2,13
D06,TOX-4,2,13
D07,BPH3237,2,13
D08,BPH3251,3,13
D09,BPH3242,3,13
D10,BPH3244,1,13
D11,BPH3254,1,13
D12,BPH3260,3,13
E01,TOX-5,1,13
E02,BPH3258,2,13
E03,BPH3257,2,13
E04,BPH3244,2,13
E05,TOX-4,1,13
E06,BPH3258,1,13
E07,Non infected,1,13
E08,BPH3240,2,13
E09,BPH3242,2,13
E10,BPH3248,3,13
E11,BPH3241,1,13
E12,BPH3257,3,13
F01,BPH3262,1,13
F02,BPH3257,1,13
F03,BPH3252,2,13
F04,BPH3259,1,13
F05,BPH3263,2,13
F06,BPH3263,1,13
F07,BPH3252,3,13
F08,BPH3240,3,13
F09,BPH3242,1,13
F10,BPH3253,2,13
F11,TOX-5,3,13
F12,BPH3264,2,13
G01,BPH3250,2,13
G02,BPH3262,2,13
G03,BPH3239,3,13
G04,BPH3246,2,13
G05,BPH3263,3,13
G06,BPH3252,1,13
G07,BPH3247,1,13
G08,BPH3240,1,13
G09,BPH3253,1,13
G10,BPH3245,2,13
G11,BPH3237,3,13
G12,BPH3255,3,13
H01,Non infected,2,13
H02,BPH3246,3,13
H03,BPH3239,2,13
H04,BPH3241,3,13
H05,BPH3245,3,13
H06,BPH3243,1,13
H07,BPH3238,2,13
H08,BPH3254,2,13
H09,BPH3238,1,13
H10,Total LDH,1,13
H11,Total LDH,2,13
H12,Total LDH,3,13
A01,BPH3287,2,14
A02,BPH3277,3,14
A03,BPH3265,1,14
A04,BPH3276,1,14
A05,Non infected,3,14
A06,BPH3279,1,14
A07,BPH3269,2,14
A08,BPH3292,1,14
A09,BPH3284,2,14
A10,BPH3281,3,14
A11,BPH3271,3,14
A12,BPH3282,3,14
B01,BPH3289,2,14
B02,BPH3267,1,14
B03,BPH3289,1,14
B04,BPH3277,1,14
B05,BPH3290,3,14
B06,TOX-4,3,14
B07,BPH3279,2,14
B08,BPH3275,3,14
B09,BPH3276,2,14
B10,BPH3288,1,14
B11,BPH3278,3,14
B12,BPH3277,2,14
C01,BPH3271,2,14
C02,BPH3274,1,14
C03,BPH3287,3,14
C04,BPH3289,3,14
C05,BPH3278,1,14
C06,BPH3286,3,14
C07,BPH3273,1,14
C08,BPH3283,1,14
C09,BPH3283,2,14
C10,BPH3266,3,14
C11,BPH3284,1,14
C12,TOX-5,2,14
D01,BPH3292,3,14
D02,BPH3288,2,14
D03,BPH3284,3,14
D04,BPH3272,3,14
D05,BPH3275,2,14
D06,TOX-4,2,14
D07,BPH3265,2,14
D08,BPH3279,3,14
D09,BPH3270,3,14
D10,BPH3272,1,14
D11,BPH3282,1,14
D12,BPH3288,3,14
E01,TOX-5,1,14
E02,BPH3286,2,14
E03,BPH3285,2,14
E04,BPH3272,2,14
E05,TOX-4,1,14
E06,BPH3286,1,14
E07,Non infected,1,14
E08,BPH3268,2,14
E09,BPH3270,2,14
E10,BPH3276,3,14
E11,BPH3269,1,14
E12,BPH3285,3,14
F01,BPH3290,1,14
F02,BPH3285,1,14
F03,BPH3280,2,14
F04,BPH3287,1,14
F05,BPH3291,2,14
F06,BPH3291,1,14
F07,BPH3280,3,14
F08,BPH3268,3,14
F09,BPH3270,1,14
F10,BPH3281,2,14
F11,TOX-5,3,14
F12,BPH3292,2,14
G01,BPH3278,2,14
G02,BPH3290,2,14
G03,BPH3267,3,14
G04,BPH3274,2,14
G05,BPH3291,3,14
G06,BPH3280,1,14
G07,BPH3275,1,14
G08,BPH3268,1,14
G09,BPH3281,1,14
G10,BPH3273,2,14
G11,BPH3265,3,14
G12,BPH3283,3,14
H01,Non infected,2,14
H02,BPH3274,3,14
H03,BPH3267,2,14
H04,BPH3269,3,14
H05,BPH3273,3,14
H06,BPH3271,1,14
H07,BPH3266,2,14
H08,BPH3282,2,14
H09,BPH3266,1,14
H10,Total LDH,1,14
H11,Total LDH,2,14
H12,Total LDH,3,14
A01,BPH3315,2,15
A02,BPH3305,3,15
A03,BPH3293,1,15
A04,BPH3304,1,15
A05,Non infected,3,15
A06,BPH3307,1,15
A07,BPH3297,2,15
A08,BPH3320,1,15
A09,BPH3312,2,15
A10,BPH3309,3,15
A11,BPH3299,3,15
A12,BPH3310,3,15
B01,BPH3317,2,15
B02,BPH3295,1,15
B03,BPH3317,1,15
B04,BPH3305,1,15
B05,BPH3318,3,15
B06,TOX-4,3,15
B07,BPH3307,2,15
B08,BPH3303,3,15
B09,BPH3304,2,15
B10,BPH3316,1,15
B11,BPH3306,3,15
B12,BPH3305,2,15
C01,BPH3299,2,15
C02,BPH3302,1,15
C03,BPH3315,3,15
C04,BPH3317,3,15
C05,BPH3306,1,15
C06,BPH3314,3,15
C07,BPH3301,1,15
C08,BPH3311,1,15
C09,BPH3311,2,15
C10,BPH3294,3,15
C11,BPH3312,1,15
C12,TOX-5,2,15
D01,BPH3320,3,15
D02,BPH3316,2,15
D03,BPH3312,3,15
D04,BPH3300,3,15
D05,BPH3303,2,15
D06,TOX-4,2,15
D07,BPH3293,2,15
D08,BPH3307,3,15
D09,BPH3298,3,15
D10,BPH3300,1,15
D11,BPH3310,1,15
D12,BPH3316,3,15
E01,TOX-5,1,15
E02,BPH3314,2,15
E03,BPH3313,2,15
E04,BPH3300,2,15
E05,TOX-4,1,15
E06,BPH3314,1,15
E07,Non infected,1,15
E08,BPH3296,2,15
E09,BPH3298,2,15
E10,BPH3304,3,15
E11,BPH3297,1,15
E12,BPH3313,3,15
F01,BPH3318,1,15
F02,BPH3313,1,15
F03,BPH3308,2,15
F04,BPH3315,1,15
F05,BPH3319,2,15
F06,BPH3319,1,15
F07,BPH3308,3,15
F08,BPH3296,3,15
F09,BPH3298,1,15
F10,BPH3309,2,15
F11,TOX-5,3,15
F12,BPH3320,2,15
G01,BPH3306,2,15
G02,BPH3318,2,15
G03,BPH3295,3,15
G04,BPH3302,2,15
G05,BPH3319,3,15
G06,BPH3308,1,15
G07,BPH3303,1,15
G08,BPH3296,1,15
G09,BPH3309,1,15
G10,BPH3301,2,15
G11,BPH3293,3,15
G12,BPH3311,3,15
H01,Non infected,2,15
H02,BPH3302,3,15
H03,BPH3295,2,15
H04,BPH3297,3,15
H05,BPH3301,3,15
H06,BPH3299,1,15
H07,BPH3294,2,15
H08,BPH3310,2,15
H09,BPH3294,1,15
H10,Total LDH,1,15
H11,Total LDH,2,15
H12,Total LDH,3,15
A01,BPH3343,2,16
A02,BPH3333,3,16
A03,BPH3321,1,16
A04,BPH3332,1,16
A05,Non infected,3,16
A06,BPH3335,1,16
A07,BPH3325,2,16
A08,BPH3734,1,16
A09,BPH3340,2,16
A10,BPH3337,3,16
A11,BPH3327,3,16
A12,BPH3338,3,16
B01,BPH3345,2,16
B02,BPH3323,1,16
B03,BPH3345,1,16
B04,BPH3333,1,16
B05,BPH3346,3,16
B06,TOX-4,3,16
B07,BPH3335,2,16
B08,BPH3331,3,16
B09,BPH3332,2,16
B10,BPH3344,1,16
B11,BPH3334,3,16
B12,BPH3333,2,16
C01,BPH3327,2,16
C02,BPH3330,1,16
C03,BPH3343,3,16
C04,BPH3345,3,16
C05,BPH3334,1,16
C06,BPH3342,3,16
C07,BPH3329,1,16
C08,BPH3339,1,16
C09,BPH3339,2,16
C10,BPH3322,3,16
C11,BPH3340,1,16
C12,TOX-5,2,16
D01,BPH3734,3,16
D02,BPH3344,2,16
D03,BPH3340,3,16
D04,BPH3328,3,16
D05,BPH3331,2,16
D06,TOX-4,2,16
D07,BPH3321,2,16
D08,BPH3335,3,16
D09,BPH3326,3,16
D10,BPH3328,1,16
D11,BPH3338,1,16
D12,BPH3344,3,16
E01,TOX-5,1,16
E02,BPH3342,2,16
E03,BPH3341,2,16
E04,BPH3328,2,16
E05,TOX-4,1,16
E06,BPH3342,1,16
E07,Non infected,1,16
E08,BPH3324,2,16
E09,BPH3326,2,16
E10,BPH3332,3,16
E11,BPH3325,1,16
E12,BPH3341,3,16
F01,BPH3346,1,16
F02,BPH3341,1,16
F03,BPH3336,2,16
F04,BPH3343,1,16
F05,BPH3733,2,16
F06,BPH3733,1,16
F07,BPH3336,3,16
F08,BPH3324,3,16
F09,BPH3326,1,16
F10,BPH3337,2,16
F11,TOX-5,3,16
F12,BPH3734,2,16
G01,BPH3334,2,16
G02,BPH3346,2,16
G03,BPH3323,3,16
G04,BPH3330,2,16
G05,BPH3733,3,16
G06,BPH3336,1,16
G07,BPH3331,1,16
G08,BPH3324,1,16
G09,BPH3337,1,16
G10,BPH3329,2,16
G11,BPH3321,3,16
G12,BPH3339,3,16
H01,Non infected,2,16
H02,BPH3330,3,16
H03,BPH3323,2,16
H04,BPH3325,3,16
H05,BPH3329,3,16
H06,BPH3327,1,16
H07,BPH3322,2,16
H08,BPH3338,2,16
H09,BPH3322,1,16
H10,Total LDH,1,16
H11,Total LDH,2,16
H12,Total LDH,3,16
A01,BPH3369,2,17
A02,BPH3359,3,17
A03,BPH3347,1,17
A04,BPH3358,1,17
A05,Non infected,3,17
A06,BPH3361,1,17
A07,BPH3351,2,17
A08,BPH3737,1,17
A09,BPH3366,2,17
A10,BPH3363,3,17
A11,BPH3353,3,17
A12,BPH3364,3,17
B01,BPH3371,2,17
B02,BPH3349,1,17
B03,BPH3371,1,17
B04,BPH3359,1,17
B05,BPH3735,3,17
B06,TOX-4,3,17
B07,BPH3361,2,17
B08,BPH3357,3,17
B09,BPH3358,2,17
B10,BPH3370,1,17
B11,BPH3360,3,17
B12,BPH3359,2,17
C01,BPH3353,2,17
C02,BPH3356,1,17
C03,BPH3369,3,17
C04,BPH3371,3,17
C05,BPH3360,1,17
C06,BPH3368,3,17
C07,BPH3355,1,17
C08,BPH3365,1,17
C09,BPH3365,2,17
C10,BPH3348,3,17
C11,BPH3366,1,17
C12,TOX-5,2,17
D01,BPH3737,3,17
D02,BPH3370,2,17
D03,BPH3366,3,17
D04,BPH3354,3,17
D05,BPH3357,2,17
D06,TOX-4,2,17
D07,BPH3347,2,17
D08,BPH3361,3,17
D09,BPH3352,3,17
D10,BPH3354,1,17
D11,BPH3364,1,17
D12,BPH3370,3,17
E01,TOX-5,1,17
E02,BPH3368,2,17
E03,BPH3367,2,17
E04,BPH3354,2,17
E05,TOX-4,1,17
E06,BPH3368,1,17
E07,Non infected,1,17
E08,BPH3350,2,17
E09,BPH3352,2,17
E10,BPH3358,3,17
E11,BPH3351,1,17
E12,BPH3367,3,17
F01,BPH3735,1,17
F02,BPH3367,1,17
F03,BPH3362,2,17
F04,BPH3369,1,17
F05,BPH3736,2,17
F06,BPH3736,1,17
F07,BPH3362,3,17
F08,BPH3350,3,17
F09,BPH3352,1,17
F10,BPH3363,2,17
F11,TOX-5,3,17
F12,BPH3737,2,17
G01,BPH3360,2,17
G02,BPH3735,2,17
G03,BPH3349,3,17
G04,BPH3356,2,17
G05,BPH3736,3,17
G06,BPH3362,1,17
G07,BPH3357,1,17
G08,BPH3350,1,17
G09,BPH3363,1,17
G10,BPH3355,2,17
G11,BPH3347,3,17
G12,BPH3365,3,17
H01,Non infected,2,17
H02,BPH3356,3,17
H03,BPH3349,2,17
H04,BPH3351,3,17
H05,BPH3355,3,17
H06,BPH3353,1,17
H07,BPH3348,2,17
H08,BPH3364,2,17
H09,BPH3348,1,17
H10,Total LDH,1,17
H11,Total LDH,2,17
H12,Total LDH,3,17
A01,BPH3396,2,18
A02,BPH3384,3,18
A03,BPH3372,1,18
A04,BPH3383,1,18
A05,TOX-4,3,18
A06,BPH3388,1,18
A07,BPH3376,2,18
A08,Non infected,1,18
A09,BPH3393,2,18
A10,BPH3390,3,18
A11,BPH3378,3,18
A12,BPH3391,3,18
B01,BPH3398,2,18
B02,BPH3374,1,18
B03,BPH3398,1,18
B04,BPH3384,1,18
B05,BPH3738,3,18
B06,TOX-5,3,18
B07,BPH3388,2,18
B08,BPH3382,3,18
B09,BPH3383,2,18
B10,BPH3397,1,18
B11,BPH3387,3,18
B12,BPH3384,2,18
C01,BPH3378,2,18
C02,BPH3381,1,18
C03,BPH3396,3,18
C04,BPH3398,3,18
C05,BPH3387,1,18
C06,BPH3395,3,18
C07,BPH3380,1,18
C08,BPH3392,1,18
C09,BPH3392,2,18
C10,BPH3373,3,18
C11,BPH3393,1,18
C12,Blank,2,18
D01,Non infected,3,18
D02,BPH3397,2,18
D03,BPH3393,3,18
D04,BPH3379,3,18
D05,BPH3382,2,18
D06,TOX-5,2,18
D07,BPH3372,2,18
D08,BPH3388,3,18
D09,BPH3377,3,18
D10,BPH3379,1,18
D11,BPH3391,1,18
D12,BPH3397,3,18
E01,Blank,1,18
E02,BPH3395,2,18
E03,BPH3394,2,18
E04,BPH3379,2,18
E05,TOX-5,1,18
E06,BPH3395,1,18
E07,TOX-4,1,18
E08,BPH3375,2,18
E09,BPH3377,2,18
E10,BPH3383,3,18
E11,BPH3376,1,18
E12,BPH3394,3,18
F01,BPH3738,1,18
F02,BPH3394,1,18
F03,BPH3389,2,18
F04,BPH3396,1,18
F05,BPH3739,2,18
F06,BPH3739,1,18
F07,BPH3389,3,18
F08,BPH3375,3,18
F09,BPH3377,1,18
F10,BPH3390,2,18
F11,Blank,3,18
F12,Non infected,2,18
G01,BPH3387,2,18
G02,BPH3738,2,18
G03,BPH3374,3,18
G04,BPH3381,2,18
G05,BPH3739,3,18
G06,BPH3389,1,18
G07,BPH3382,1,18
G08,BPH3375,1,18
G09,BPH3390,1,18
G10,BPH3380,2,18
G11,BPH3372,3,18
G12,BPH3392,3,18
H01,TOX-4,2,18
H02,BPH3381,3,18
H03,BPH3374,2,18
H04,BPH3376,3,18
H05,BPH3380,3,18
H06,BPH3378,1,18
H07,BPH3373,2,18
H08,BPH3391,2,18
H09,BPH3373,1,18
H10,Total LDH,1,18
H11,Total LDH,2,18
H12,Total LDH,3,18
A01,BPH3740,2,19
A02,BPH3412,3,19
A03,BPH3399,1,19
A04,BPH3411,1,19
A05,Non infected,3,19
A06,BPH3414,1,19
A07,BPH3403,2,19
A08,BPH3745,1,19
A09,BPH3419,2,19
A10,BPH3416,3,19
A11,BPH3406,3,19
A12,BPH3417,3,19
B01,BPH3742,2,19
B02,BPH3401,1,19
B03,BPH3742,1,19
B04,BPH3412,1,19
B05,BPH3743,3,19
B06,TOX-4,3,19
B07,BPH3414,2,19
B08,BPH3410,3,19
B09,BPH3411,2,19
B10,BPH3741,1,19
B11,BPH3413,3,19
B12,BPH3412,2,19
C01,BPH3406,2,19
C02,BPH3409,1,19
C03,BPH3740,3,19
C04,BPH3742,3,19
C05,BPH3413,1,19
C06,BPH3421,3,19
C07,BPH3408,1,19
C08,BPH3418,1,19
C09,BPH3418,2,19
C10,BPH3400,3,19
C11,BPH3419,1,19
C12,TOX-5,2,19
D01,BPH3745,3,19
D02,BPH3741,2,19
D03,BPH3419,3,19
D04,BPH3407,3,19
D05,BPH3410,2,19
D06,TOX-4,2,19
D07,BPH3399,2,19
D08,BPH3414,3,19
D09,BPH3404,3,19
D10,BPH3407,1,19
D11,BPH3417,1,19
D12,BPH3741,3,19
E01,TOX-5,1,19
E02,BPH3421,2,19
E03,BPH3420,2,19
E04,BPH3407,2,19
E05,TOX-4,1,19
E06,BPH3421,1,19
E07,Non infected,1,19
E08,BPH3402,2,19
E09,BPH3404,2,19
E10,BPH3411,3,19
E11,BPH3403,1,19
E12,BPH3420,3,19
F01,BPH3743,1,19
F02,BPH3420,1,19
F03,BPH3415,2,19
F04,BPH3740,1,19
F05,BPH3744,2,19
F06,BPH3744,1,19
F07,BPH3415,3,19
F08,BPH3402,3,19
F09,BPH3404,1,19
F10,BPH3416,2,19
F11,TOX-5,3,19
F12,BPH3745,2,19
G01,BPH3413,2,19
G02,BPH3743,2,19
G03,BPH3401,3,19
G04,BPH3409,2,19
G05,BPH3744,3,19
G06,BPH3415,1,19
G07,BPH3410,1,19
G08,BPH3402,1,19
G09,BPH3416,1,19
G10,BPH3408,2,19
G11,BPH3399,3,19
G12,BPH3418,3,19
H01,Non infected,2,19
H02,BPH3409,3,19
H03,BPH3401,2,19
H04,BPH3403,3,19
H05,BPH3408,3,19
H06,BPH3406,1,19
H07,BPH3400,2,19
H08,BPH3417,2,19
H09,BPH3400,1,19
H10,Total LDH,1,19
H11,Total LDH,2,19
H12,Total LDH,3,19
A01,BPH3444,2,20
A02,BPH3434,3,20
A03,BPH3422,1,20
A04,BPH3433,1,20
A05,Non infected,3,20
A06,BPH3436,1,20
A07,BPH3426,2,20
A08,BPH3749,1,20
A09,BPH3441,2,20
A10,BPH3438,3,20
A11,BPH3428,3,20
A12,BPH3439,3,20
B01,BPH3746,2,20
B02,BPH3424,1,20
B03,BPH3746,1,20
B04,BPH3434,1,20
B05,BPH3747,3,20
B06,TOX-4,3,20
B07,BPH3436,2,20
B08,BPH3432,3,20
B09,BPH3433,2,20
B10,BPH3445,1,20
B11,BPH3435,3,20
B12,BPH3434,2,20
C01,BPH3428,2,20
C02,BPH3431,1,20
C03,BPH3444,3,20
C04,BPH3746,3,20
C05,BPH3435,1,20
C06,BPH3443,3,20
C07,BPH3430,1,20
C08,BPH3440,1,20
C09,BPH3440,2,20
C10,BPH3423,3,20
C11,BPH3441,1,20
C12,TOX-5,2,20
D01,BPH3749,3,20
D02,BPH3445,2,20
D03,BPH3441,3,20
D04,BPH3429,3,20
D05,BPH3432,2,20
D06,TOX-4,2,20
D07,BPH3422,2,20
D08,BPH3436,3,20
D09,BPH3427,3,20
D10,BPH3429,1,20
D11,BPH3439,1,20
D12,BPH3445,3,20
E01,TOX-5,1,20
E02,BPH3443,2,20
E03,BPH3442,2,20
E04,BPH3429,2,20
E05,TOX-4,1,20
E06,BPH3443,1,20
E07,Non infected,1,20
E08,BPH3425,2,20
E09,BPH3427,2,20
E10,BPH3433,3,20
E11,BPH3426,1,20
E12,BPH3442,3,20
F01,BPH3747,1,20
F02,BPH3442,1,20
F03,BPH3437,2,20
F04,BPH3444,1,20
F05,BPH3748,2,20
F06,BPH3748,1,20
F07,BPH3437,3,20
F08,BPH3425,3,20
F09,BPH3427,1,20
F10,BPH3438,2,20
F11,TOX-5,3,20
F12,BPH3749,2,20
G01,BPH3435,2,20
G02,BPH3747,2,20
G03,BPH3424,3,20
G04,BPH3431,2,20
G05,BPH3748,3,20
G06,BPH3437,1,20
G07,BPH3432,1,20
G08,BPH3425,1,20
G09,BPH3438,1,20
G10,BPH3430,2,20
G11,BPH3422,3,20
G12,BPH3440,3,20
H01,Non infected,2,20
H02,BPH3431,3,20
H03,BPH3424,2,20
H04,BPH3426,3,20
H05,BPH3430,3,20
H06,BPH3428,1,20
H07,BPH3423,2,20
H08,BPH3439,2,20
H09,BPH3423,1,20
H10,Total LDH,1,20
H11,Total LDH,2,20
H12,Total LDH,3,20
A01,BPH3469,2,21
A02,BPH3459,3,21
A03,BPH3446,1,21
A04,BPH3458,1,21
A05,Non infected,3,21
A06,BPH3461,1,21
A07,BPH3451,2,21
A08,BPH3751,1,21
A09,BPH3466,2,21
A10,BPH3463,3,21
A11,BPH3453,3,21
A12,BPH3464,3,21
B01,BPH3471,2,21
B02,BPH3448,1,21
B03,BPH3471,1,21
B04,BPH3459,1,21
B05,BPH3472,3,21
B06,TOX-4,3,21
B07,BPH3461,2,21
B08,BPH3457,3,21
B09,BPH3458,2,21
B10,BPH3470,1,21
B11,BPH3460,3,21
B12,BPH3459,2,21
C01,BPH3453,2,21
C02,BPH3456,1,21
C03,BPH3469,3,21
C04,BPH3471,3,21
C05,BPH3460,1,21
C06,BPH3468,3,21
C07,BPH3455,1,21
C08,BPH3465,1,21
C09,BPH3465,2,21
C10,BPH3447,3,21
C11,BPH3466,1,21
C12,TOX-5,2,21
D01,BPH3751,3,21
D02,BPH3470,2,21
D03,BPH3466,3,21
D04,BPH3454,3,21
D05,BPH3457,2,21
D06,TOX-4,2,21
D07,BPH3446,2,21
D08,BPH3461,3,21
D09,BPH3452,3,21
D10,BPH3454,1,21
D11,BPH3464,1,21
D12,BPH3470,3,21
E01,TOX-5,1,21
E02,BPH3468,2,21
E03,BPH3467,2,21
E04,BPH3454,2,21
E05,TOX-4,1,21
E06,BPH3468,1,21
E07,Non infected,1,21
E08,BPH3450,2,21
E09,BPH3452,2,21
E10,BPH3458,3,21
E11,BPH3451,1,21
E12,BPH3467,3,21
F01,BPH3472,1,21
F02,BPH3467,1,21
F03,BPH3462,2,21
F04,BPH3469,1,21
F05,BPH3750,2,21
F06,BPH3750,1,21
F07,BPH3462,3,21
F08,BPH3450,3,21
F09,BPH3452,1,21
F10,BPH3463,2,21
F11,TOX-5,3,21
F12,BPH3751,2,21
G01,BPH3460,2,21
G02,BPH3472,2,21
G03,BPH3448,3,21
G04,BPH3456,2,21
G05,BPH3750,3,21
G06,BPH3462,1,21
G07,BPH3457,1,21
G08,BPH3450,1,21
G09,BPH3463,1,21
G10,BPH3455,2,21
G11,BPH3446,3,21
G12,BPH3465,3,21
H01,Non infected,2,21
H02,BPH3456,3,21
H03,BPH3448,2,21
H04,BPH3451,3,21
H05,BPH3455,3,21
H06,BPH3453,1,21
H07,BPH3447,2,21
H08,BPH3464,2,21
H09,BPH3447,1,21
H10,Total LDH,1,21
H11,Total LDH,2,21
H12,Total LDH,3,21
A01,BPH3495,2,22
A02,BPH3485,3,22
A03,BPH3473,1,22
A04,BPH3484,1,22
A05,Non infected,3,22
A06,BPH3487,1,22
A07,BPH3477,2,22
A08,BPH3501,1,22
A09,BPH3492,2,22
A10,BPH3489,3,22
A11,BPH3479,3,22
A12,BPH3490,3,22
B01,BPH3497,2,22
B02,BPH3475,1,22
B03,BPH3497,1,22
B04,BPH3485,1,22
B05,BPH3499,3,22
B06,TOX-4,3,22
B07,BPH3487,2,22
B08,BPH3483,3,22
B09,BPH3484,2,22
B10,BPH3496,1,22
B11,BPH3486,3,22
B12,BPH3485,2,22
C01,BPH3479,2,22
C02,BPH3482,1,22
C03,BPH3495,3,22
C04,BPH3497,3,22
C05,BPH3486,1,22
C06,BPH3494,3,22
C07,BPH3481,1,22
C08,BPH3491,1,22
C09,BPH3491,2,22
C10,BPH3474,3,22
C11,BPH3492,1,22
C12,TOX-5,2,22
D01,BPH3501,3,22
D02,BPH3496,2,22
D03,BPH3492,3,22
D04,BPH3480,3,22
D05,BPH3483,2,22
D06,TOX-4,2,22
D07,BPH3473,2,22
D08,BPH3487,3,22
D09,BPH3478,3,22
D10,BPH3480,1,22
D11,BPH3490,1,22
D12,BPH3496,3,22
E01,TOX-5,1,22
E02,BPH3494,2,22
E03,BPH3493,2,22
E04,BPH3480,2,22
E05,TOX-4,1,22
E06,BPH3494,1,22
E07,Non infected,1,22
E08,BPH3476,2,22
E09,BPH3478,2,22
E10,BPH3484,3,22
E11,BPH3477,1,22
E12,BPH3493,3,22
F01,BPH3499,1,22
F02,BPH3493,1,22
F03,BPH3488,2,22
F04,BPH3495,1,22
F05,BPH3500,2,22
F06,BPH3500,1,22
F07,BPH3488,3,22
F08,BPH3476,3,22
F09,BPH3478,1,22
F10,BPH3489,2,22
F11,TOX-5,3,22
F12,BPH3501,2,22
G01,BPH3486,2,22
G02,BPH3499,2,22
G03,BPH3475,3,22
G04,BPH3482,2,22
G05,BPH3500,3,22
G06,BPH3488,1,22
G07,BPH3483,1,22
G08,BPH3476,1,22
G09,BPH3489,1,22
G10,BPH3481,2,22
G11,BPH3473,3,22
G12,BPH3491,3,22
H01,Non infected,2,22
H02,BPH3482,3,22
H03,BPH3475,2,22
H04,BPH3477,3,22
H05,BPH3481,3,22
H06,BPH3479,1,22
H07,BPH3474,2,22
H08,BPH3490,2,22
H09,BPH3474,1,22
H10,Total LDH,1,22
H11,Total LDH,2,22
H12,Total LDH,3,22
A01,BPH3524,2,23
A02,BPH3514,3,23
A03,BPH3502,1,23
A04,BPH3513,1,23
A05,Non infected,3,23
A06,BPH3516,1,23
A07,BPH3506,2,23
A08,BPH3529,1,23
A09,BPH3521,2,23
A10,BPH3518,3,23
A11,BPH3508,3,23
A12,BPH3519,3,23
B01,BPH3526,2,23
B02,BPH3504,1,23
B03,BPH3526,1,23
B04,BPH3514,1,23
B05,BPH3527,3,23
B06,TOX-4,3,23
B07,BPH3516,2,23
B08,BPH3512,3,23
B09,BPH3513,2,23
B10,BPH3525,1,23
B11,BPH3515,3,23
B12,BPH3514,2,23
C01,BPH3508,2,23
C02,BPH3511,1,23
C03,BPH3524,3,23
C04,BPH3526,3,23
C05,BPH3515,1,23
C06,BPH3523,3,23
C07,BPH3510,1,23
C08,BPH3520,1,23
C09,BPH3520,2,23
C10,BPH3503,3,23
C11,BPH3521,1,23
C12,TOX-5,2,23
D01,BPH3529,3,23
D02,BPH3525,2,23
D03,BPH3521,3,23
D04,BPH3509,3,23
D05,BPH3512,2,23
D06,TOX-4,2,23
D07,BPH3502,2,23
D08,BPH3516,3,23
D09,BPH3507,3,23
